source_url,subject,subject_type,relation,object,object_type,context
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,GPE,be daughter of,Prince Edward,PERSON,"Victoria was the daughter of Prince Edward, Duke of Kent and Strathearn (the fourth son of King George III), and Princess Victoria of Saxe-Coburg-Saalfeld."
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,ORG,marry her maternal cousin of in,1840,DATE,"Victoria married her maternal first cousin, Prince Albert of Saxe-Coburg and Gotha, in 1840."
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,PERSON,die at on at,the age of 81,DATE,"Victoria died at Osborne House on the Isle of Wight, at the age of 81."
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,GPE,bear at on may at,Kensington Palace,FAC,"Victoria was born at 4:15 am on Monday, 24 May 1819 at Kensington Palace in London and was the Duke and Duchess of Kent's only child.[1] Victoria was christened privately by the Archbishop of Canterbury, Charles Manners-Sutton, on 24 June in the Cupola Room at Kensington Palace.[b]"
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,GPE,christen privately by on in,the Cupola Room,FAC,"Victoria was born at 4:15 am on Monday, 24 May 1819 at Kensington Palace in London and was the Duke and Duchess of Kent's only child.[1] Victoria was christened privately by the Archbishop of Canterbury, Charles Manners-Sutton, on 24 June in the Cupola Room at Kensington Palace.[b]"
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,GPE,be,less than a year old,DATE,"Victoria's father died in January 1820, when Victoria was less than a year old."
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,GPE,be in line to throne after,Frederick,PERSON,Victoria was then third in line to the throne after Frederick and William.
https://en.wikipedia.org/wiki/Queen_Victoria,Frederick,PERSON,die in,1827,DATE,"Heir presumptive Frederick died in 1827, followed by George IV in 1830; their next surviving brother succeeded to the throne as William IV, and Victoria became heir presumptive."
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,GPE,raise largely isolate from other child under so call,Kensington System,WORK_OF_ART,"Her mother was extremely protective, and Victoria was raised largely isolated from other children under the so-called ""Kensington System"", an elaborate set of rules and protocols devised by the Duchess and her ambitious and domineering comptroller, Sir John Conroy, who was rumoured to be the Duchess's lover.[8]"
https://en.wikipedia.org/wiki/Queen_Victoria,Leopold,PERSON,hop,1836,DATE,"By 1836, Victoria's maternal uncle Leopold, who had been King of the Belgians since 1831, hoped to marry her to Prince Albert,[24] the son of his brother Ernest I, Duke of Saxe-Coburg and Gotha."
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,GPE,write to,King Leopold,PERSON,"Alexander, on the other hand, she described as ""very plain"".[29] Victoria wrote to King Leopold, whom she considered her ""best and kindest adviser"",[30] to thank him ""for the prospect of great happiness you have contributed to give me, in the person of dear Albert ..."
https://en.wikipedia.org/wiki/Queen_Victoria,William IV,PERSON,die at,the age of 71,DATE,"Less than a month later, on 20 June 1837, William IV died at the age of 71, and Victoria became Queen of the United Kingdom.[c]"
https://en.wikipedia.org/wiki/Queen_Victoria,Britain,GPE,share monarch with,Hanover,GPE,"""[33] Official documents prepared on the first day of her reign described her as Alexandrina Victoria, but the first name was withdrawn at her own wish and not used again.[34] Since 1714, Britain had shared a monarch with Hanover in Germany, but under Salic law, women were excluded from the Hanoverian succession."
https://en.wikipedia.org/wiki/Queen_Victoria,Lady Flora,PERSON,die in,July,DATE,"At first, Lady Flora refused to submit to an intimate medical examination, until in mid-February she eventually acquiesced, and was found to be a virgin.[46] Conroy, the Hastings family, and the opposition Tories organised a press campaign implicating the Queen in the spreading of false rumours about Lady Flora.[47] When Lady Flora died in July, the post-mortem revealed a large tumour on her liver that had distended her abdomen.[48] At public appearances, Victoria was hissed and jeered at as ""Mrs. Melbourne"".[49]"
https://en.wikipedia.org/wiki/Queen_Victoria,Melbourne,GPE,resign after,Radicals and Tories,ORG,"In 1839, Melbourne resigned after Radicals and Tories (both of whom Victoria detested) voted against a bill to suspend the constitution of Jamaica."
https://en.wikipedia.org/wiki/Queen_Victoria,Queen,PERSON,commission,Tory,NORP,"The Queen commissioned a Tory, Robert Peel, to form a new ministry."
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,GPE,complain to,Melbourne,GPE,"Peel refused to govern under the restrictions imposed by the Queen, and consequently resigned his commission, allowing Melbourne to return to office.[51] Marriage and public life Although Victoria was now queen, as an unmarried young woman she was required by social convention to live with her mother, despite their differences over the Kensington System and her mother's continued reliance on Conroy.[52] The duchess was consigned to a remote apartment in Buckingham Palace, and Victoria often refused to see her.[53] When Victoria complained to Melbourne that her mother's proximity promised ""torment for many years"", Melbourne sympathised but said it could be avoided by marriage, which Victoria called a ""schocking [sic] alternative"".[54] Victoria showed interest in Albert's education for the future role he would have to play as her husband, but she resisted attempts to rush her into wedlock.[55] Victoria continued to praise Albert following his second visit in October 1839."
https://en.wikipedia.org/wiki/Queen_Victoria,Edward Oxford,PERSON,attempt,the first few months,DATE,"Through Albert's mediation, relations between mother and daughter slowly improved.[60] During Victoria's first pregnancy in 1840, in the first few months of the marriage, 18-year-old Edward Oxford attempted to assassinate her while she was riding in a carriage with Prince Albert on her way to visit her mother."
