Private Entity,External URI,Confidence
:TheUniversityOfBonn,<http://dbpedia.org/resource/University_of_Bonn>,0.6957186735748907
:TheNorthWestTerritories,<http://dbpedia.org/resource/Northwest_Territories>,0.9984834901144151
:France,<http://dbpedia.org/resource/France>,0.9934283733594713
:TheFrenchEmperor,<http://dbpedia.org/resource/Emperor_of_the_French>,0.9838641851367407
:DukeOfAlbany,<http://dbpedia.org/resource/Duke>,0.992604198975373
:AlfredDukeOfSaxecoburg,<http://dbpedia.org/resource/Duke>,0.9999976150547827
:5February1883,NOT_FOUND,0.0
:Freemason,<http://dbpedia.org/resource/Freemasonry>,0.99939360981382
:TheCrimeanWar,<http://dbpedia.org/resource/Crimean_War>,1.0
:TheRoyalNavy,<http://dbpedia.org/resource/Royal_Navy>,0.9999817573451154
:Life139140Titles,NOT_FOUND,0.0
:TheRoyalFamily,<http://dbpedia.org/resource/Royal_family>,0.9999881775646849
:Hattersley,<http://dbpedia.org/resource/Hattersley>,0.9994537468894613
:CharlesEdward,NOT_FOUND,0.0
:DerbyAnd,<http://dbpedia.org/resource/Derby>,0.9243426796101605
:PrinceEdward,<http://dbpedia.org/resource/Prince_Michael_of_Kent>,0.9425651330190723
:FelixMendelssohn,<http://dbpedia.org/resource/Felix_Mendelssohn>,0.9999982223930485
:JavedMahmood,<http://dbpedia.org/resource/Sultan_Bashiruddin_Mahmood>,0.9936661686376131
:PrinceAlfredStreet,<http://dbpedia.org/resource/Prince_Alfred_of_Liechtenstein>,0.59373244174235
:MaryLouise,<http://dbpedia.org/resource/Mary_II_of_England>,0.9605917156659476
:Marshall,NOT_FOUND,0.0
:AnneGabrielleAlexandrineMor,<http://dbpedia.org/resource/Gabrielle_Solis>,0.795607896006846
:LouisMountbatten,"<http://dbpedia.org/resource/Louis_Mountbatten,_1st_Earl_Mountbatten_of_Burma>",0.9999998813123979
:Vietnam,<http://dbpedia.org/resource/Vietnam>,0.9982856233518207
:Paris,<http://dbpedia.org/resource/Paris>,0.999997868922773
:KentHouse,<http://dbpedia.org/resource/Kent>,0.977672744529075
:Margaret,<http://dbpedia.org/resource/Princess_Margaret_of_Prussia>,0.9999999908848736
:Fiddle,<http://dbpedia.org/resource/Fiddle>,0.9996872975398903
:LyonPlayfair,"<http://dbpedia.org/resource/Lyon_Playfair,_1st_Baron_Playfair>",0.999999546344032
:KensalGreenCemetery,<http://dbpedia.org/resource/Kensal_Green_Cemetery>,0.90306979283109
:Henry,NOT_FOUND,0.0
:Williams,<http://dbpedia.org/resource/Williams_Grand_Prix_Engineering>,0.9055655889855512
:SchombergHouse,<http://dbpedia.org/resource/Schomberg_House>,0.9999999999999716
:TheHultonArchive,<http://dbpedia.org/resource/Picture_Post>,1.0
:TheKingdomOfPrussia,<http://dbpedia.org/resource/Prussia>,0.7627286443169152
:FrederickWilliamIv,<http://dbpedia.org/resource/Frederick_William_IV_of_Prussia>,1.0
:Coburg,<http://dbpedia.org/resource/Coburg>,0.9971143885898535
:Frederick,<http://dbpedia.org/resource/Frederick_the_Great>,0.991037209366527
:DasHerzogtumsSachsenaltenburg,NOT_FOUND,0.0
:Beatrice,<http://dbpedia.org/resource/Princess_Beatrice_of_the_United_Kingdom>,0.9999999694786088
:EdwardViiEdwardVii,<http://dbpedia.org/resource/Edward_VII>,0.9999995916506615
:Children30,NOT_FOUND,0.0
:Editaffie,NOT_FOUND,0.0
:Majesties,NOT_FOUND,0.0
:TheLadiesWorkSociety,NOT_FOUND,0.0
:MountVernon,<http://dbpedia.org/resource/Mount_Vernon>,0.9999999986530383
:PrinceJohn,<http://dbpedia.org/resource/Prince_John_of_the_United_Kingdom>,0.9997391198803302
:Kinealy,NOT_FOUND,0.0
:EmilyWilliamson,<http://dbpedia.org/resource/Emily_Williamson>,1.0
:TheFrancoprussianWar,<http://dbpedia.org/resource/Franco-Prussian_War>,1.0
:KingLeopold,<http://dbpedia.org/resource/Leopold_I_of_Belgium>,0.9800731182328314
:PrinceConsort34,<http://dbpedia.org/resource/Prince_consort>,1.0
:ThePrinceAlfredHotel,<http://dbpedia.org/resource/Prince_Alfred_of_Liechtenstein>,0.9659633353631153
:LucindaHawksley,<http://dbpedia.org/resource/Lucinda_Hawksley>,1.0
:Hanover,<http://dbpedia.org/resource/House_of_Hanover>,0.7564000453809775
:EdwardOxford,<http://dbpedia.org/resource/Edward_Oxford>,1.0
:CapePrinceAlfred,<http://dbpedia.org/resource/Prince_Alfred_College>,0.8195788088208933
:BarbaraWTuchman,<http://dbpedia.org/resource/Barbara_Bush>,0.945014171456625
:Lorne,<http://dbpedia.org/resource/Municipality_of_Lorne>,0.9884105889976287
:GeorgErnstHinzpeter,<http://dbpedia.org/resource/Georg_Ernst_Hinzpeter>,1.0
:LadyRandolph,<http://dbpedia.org/resource/Lady_Randolph_Churchill>,1.0
:WindsorCastle,<http://dbpedia.org/resource/Windsor_Castle>,1.0
:CharlesIii,<http://dbpedia.org/resource/Charles_III_of_Spain>,0.9917000928943056
:Bornstedt,<http://dbpedia.org/resource/Bornstedt_(Potsdam)>,0.8946507088868002
:CharlesMordaunt,<http://dbpedia.org/resource/Charles_II_of_England>,0.5521082854015608
:QueenVictoria,<http://dbpedia.org/resource/Queen_Victoria>,0.999994762595593
:ThePrussianArmy,<http://dbpedia.org/resource/Prussian_Army>,0.9999970803026477
:FelicityKendal,<http://dbpedia.org/resource/Felicity_Kendal>,1.0
:Eastbourne,<http://dbpedia.org/resource/Eastbourne>,0.9998362331544841
:LadyFlora,<http://dbpedia.org/resource/Flora>,0.9796231241894648
:Indochina,<http://dbpedia.org/resource/French_Indochina>,0.9998467793447039
:NationalPortraitGallery,"<http://dbpedia.org/resource/National_Portrait_Gallery,_London>",1.0
:Germany,<http://dbpedia.org/resource/Germany>,0.9864430233851484
:Asquith,<http://dbpedia.org/resource/H._H._Asquith>,0.999999998796909
:Weymouth,<http://dbpedia.org/resource/Weymouth_railway_station>,0.5762441767662569
:TheShahOf,<http://dbpedia.org/resource/Naser_al-Din_Shah_Qajar>,0.9800562429195698
:Leopold4Education,<http://dbpedia.org/resource/Leopold_II_of_Belgium>,0.8205778329777598
:WilliamIv,<http://dbpedia.org/resource/William_IV>,0.999999976342281
:Hohenzollerns,<http://dbpedia.org/resource/House_of_Hohenzollern>,0.9999999995980318
:TheUniversityOfDurham,<http://dbpedia.org/resource/Durham_University>,0.9997505600302681
:Europe,<http://dbpedia.org/resource/Continental_Europe>,0.9999999999982947
:TheodoreMartin,<http://dbpedia.org/resource/Purple_martin>,0.6248119269699649
:GreatBritain,<http://dbpedia.org/resource/Great_Britain>,0.969220379071284
:PrincessHelena,<http://dbpedia.org/resource/Edward_VII>,0.9915692662640819
:Staatshandbcher,NOT_FOUND,0.0
:DavidProthero,<http://dbpedia.org/resource/Donald_Prothero>,1.0
:Gladstone,<http://dbpedia.org/resource/William_Ewart_Gladstone>,0.9999031792667175
:Cham,<http://dbpedia.org/resource/Chams>,0.8367937198914875
:WilhelmIi,"<http://dbpedia.org/resource/Wilhelm_II,_German_Emperor>",0.9999999990350261
:Victoria,<http://dbpedia.org/resource/Queen_Victoria>,0.9999999922123664
:Palace,NOT_FOUND,0.0
:Tory,<http://dbpedia.org/resource/Tory>,0.9999239457974942
:Duke,"<http://dbpedia.org/resource/Prince_William,_Duke_of_Cambridge>",0.6543341831590465
:BeatriceLaysWreath,<http://dbpedia.org/resource/Princess_Beatrice_of_the_United_Kingdom>,0.9998862415425694
:SantaBarbara,"<http://dbpedia.org/resource/Santa_Barbara,_California>",0.9999902799478408
:Leopold,<http://dbpedia.org/resource/Leopold_I_of_Belgium>,0.9999998128925147
:GeorgeV,<http://dbpedia.org/resource/George_V>,0.9999999871903925
:Denmark,<http://dbpedia.org/resource/Denmark>,0.999891502065927
:Charles,<http://dbpedia.org/resource/Charles_II_of_England>,0.5879241134486588
:Vicky,NOT_FOUND,0.0
:Maria,<http://dbpedia.org/resource/Grand_Duchess_Maria_Nikolaevna_of_Russia>,0.9914855916319261
:BritishEmpire,<http://dbpedia.org/resource/British_Empire>,0.9874201269747813
:Boulogne,<http://dbpedia.org/resource/Boulogne-sur-Mer>,0.9955640618439768
:Schleswigholstein,<http://dbpedia.org/resource/Province_of_Schleswig-Holstein>,0.8989312796731488
:Highlands,<http://dbpedia.org/resource/Scottish_Highlands>,0.9999991988540641
:TheRoyalArchives1855Visit,<http://dbpedia.org/resource/Royal_Archives>,0.9999995054805112
:HallieWoodhall,<http://dbpedia.org/resource/George_Woodhall>,0.8877082794096972
:VictoriaAlexandria,<http://dbpedia.org/resource/Queen_Victoria>,0.9999999992522817
:Austrians,<http://dbpedia.org/resource/Austria>,0.8770701695518763
