Relation_Brute,Context_Subject,Context_Object,Candidat_1,Candidat_2,Candidat_3,Candidat_4,Candidat_5
be daughter of,<http://dbpedia.org/resource/Queen_Victoria>,<http://dbpedia.org/resource/Prince_Michael_of_Kent>,dbo:daughter (daughter) [Score: 0.72],dbo:parent (parent) [Score: 0.58],dbo:child (child) [Score: 0.56],dbo:rightChild (right child) [Score: 0.48],dbo:mother (mother) [Score: 0.47]
bear at on may at,<http://dbpedia.org/resource/Queen_Victoria>,<http://dbpedia.org/resource/Kensington_Palace>,dbo:garrison (garrison) [Score: 0.39],dbo:march (march) [Score: 0.36],dbo:animal (animal) [Score: 0.36],dbo:month (month) [Score: 0.34],dbo:summerAppearances (summer appearances) [Score: 0.31]
be in line to throne after,<http://dbpedia.org/resource/Queen_Victoria>,<http://dbpedia.org/resource/Frederick_the_Great>,dbo:routeLine (line) [Score: 0.81],dbo:numberOfLines (number of lines) [Score: 0.62],dbo:servingRailwayLine (serving railway line) [Score: 0.51],dbo:lineLength (line length (μ)) [Score: 0.50],dbo:otherServingLines (other serving lines) [Score: 0.46]
raise largely isolate from other child under so call,<http://dbpedia.org/resource/Queen_Victoria>,<http://dbpedia.org/resource/Kensington_System>,dbo:percentage (percentage) [Score: 0.44],dbo:promotion (promotion) [Score: 0.42],dbo:income (income) [Score: 0.41],dbo:fundedBy (funded by) [Score: 0.40],dbo:highest (highest) [Score: 0.39]
write to,<http://dbpedia.org/resource/Queen_Victoria>,<http://dbpedia.org/resource/Leopold_I_of_Belgium>,dbo:notes (notes) [Score: 0.54],dbo:inscription (inscription) [Score: 0.53],dbo:editing (editing) [Score: 0.53],dbo:author (author) [Score: 0.51],dbo:publication (publication) [Score: 0.49]
share monarch with,<http://dbpedia.org/resource/United_Kingdom_of_Great_Britain_and_Ireland>,<http://dbpedia.org/resource/House_of_Hanover>,dbo:monarch (monarch) [Score: 0.82],dbo:kingdom (kingdom) [Score: 0.54],dbo:royalAnthem (royal anthem) [Score: 0.47],dbo:heir (heir) [Score: 0.43],dbo:reign (reign) [Score: 0.41]
commission,<http://dbpedia.org/resource/Elizabeth_II>,<http://dbpedia.org/resource/Tory>,dbo:commissioner (commissioner) [Score: 0.64],dbo:agency (agency) [Score: 0.63],dbo:delegation (delegation) [Score: 0.57],dbo:contractor (contractor) [Score: 0.54],dbo:chairperson (chairperson) [Score: 0.52]
complain to,<http://dbpedia.org/resource/Queen_Victoria>,<http://dbpedia.org/resource/Melbourne>,dbo:comment (comment) [Score: 0.46],dbo:review (review) [Score: 0.45],dbo:show (show) [Score: 0.41],dbo:work (work) [Score: 0.38],dbo:fight (fight) [Score: 0.36]
label,<http://dbpedia.org/resource/Queen_Victoria>,<http://dbpedia.org/resource/Ireland>,dbo:recordLabel (record label) [Score: 0.75],dbo:headLabel (head label) [Score: 0.74],dbo:distributingLabel (distributing label) [Score: 0.72],dbo:chairLabel (chair label) [Score: 0.70],dbo:statisticLabel (statistic label) [Score: 0.62]
publish book leaves from in,<http://dbpedia.org/resource/Queen_Victoria>,<http://dbpedia.org/resource/Scottish_Highlands>,dbo:publisher (publisher) [Score: 0.70],dbo:publication (publication) [Score: 0.70],dbo:firstPublisher (first publisher) [Score: 0.64],dbo:isbn (ISBN) [Score: 0.51],dbo:novel (novel) [Score: 0.51]
push through,<http://dbpedia.org/resource/Benjamin_Disraeli>,<http://dbpedia.org/resource/Parliament_of_England>,dbo:movement (movement) [Score: 0.45],dbo:route (route) [Score: 0.42],dbo:follows (follows) [Score: 0.41],dbo:approach (approach) [Score: 0.40],dbo:branchTo (branch to) [Score: 0.40]
fall down some stair at,<http://dbpedia.org/resource/Queen_Victoria>,<http://dbpedia.org/resource/Windsor_Castle>,dbo:layingDown (laying down) [Score: 0.66],dbo:ground (ground) [Score: 0.48],dbo:ascent (ascent) [Score: 0.45],dbo:lowestPlace (lowest place) [Score: 0.43],dbo:firstAscent (first ascent) [Score: 0.41]
celebrate s,<http://dbpedia.org/resource/British_Empire>,<http://dbpedia.org/resource/Golden_Age_of_Comic_Books>,dbo:employersCelebration (employer's celebration) [Score: 0.51],"dbo:feastDay (feast day, holiday) [Score: 0.47]",dbo:event (event) [Score: 0.43],dbo:anniversary (anniversary) [Score: 0.42],dbo:groupCommemorated (group commemorated) [Score: 0.41]
holiday in mainland,<http://dbpedia.org/resource/Queen_Victoria>,<http://dbpedia.org/resource/Continental_Europe>,dbo:island (island) [Score: 0.58],"dbo:feastDay (feast day, holiday) [Score: 0.56]",dbo:mainIsland (main island) [Score: 0.54],dbo:majorIsland (major island) [Score: 0.52],dbo:mainIslands (main islands) [Score: 0.52]
succeed immediately as,<http://dbpedia.org/resource/Albert_I_of_Germany>,<http://dbpedia.org/resource/Edward_VII>,dbo:achievement (achievement) [Score: 0.51],dbo:successfulLaunches (successful launches) [Score: 0.50],dbo:soccerTournamentMostSuccesfull (most successfull) [Score: 0.49],dbo:start (start) [Score: 0.46],dbo:startCareer (start career) [Score: 0.46]
